timestamp,iso_timestamp,raw_line,timestamp,device,type,code,value
1762064952.106581,2025-11-02T15:29:12.106581,[   21385.600272] /dev/input/event4: 0000 0000 00000000,21385.600272,/dev/input/event4,0000,0000,00000000
1762064952.121808,2025-11-02T15:29:12.121808,[   21385.608362] /dev/input/event4: 0003 0035 00000273,21385.608362,/dev/input/event4,0003,0035,00000273
1762064952.1375074,2025-11-02T15:29:12.137507,[   21385.608362] /dev/input/event4: 0003 0036 00000686,21385.608362,/dev/input/event4,0003,0036,00000686
1762064952.1529632,2025-11-02T15:29:12.152963,[   21385.608362] /dev/input/event4: 0003 0030 0000000a,21385.608362,/dev/input/event4,0003,0030,0000000a
1762064952.168757,2025-11-02T15:29:12.168757,[   21385.608362] /dev/input/event4: 0000 0000 00000000,21385.608362,/dev/input/event4,0000,0000,00000000
1762064952.1846087,2025-11-02T15:29:12.184609,[   21385.616858] /dev/input/event4: 0003 0035 00000287,21385.616858,/dev/input/event4,0003,0035,00000287
1762064952.200326,2025-11-02T15:29:12.200326,[   21385.616858] /dev/input/event4: 0003 0036 0000064a,21385.616858,/dev/input/event4,0003,0036,0000064a
1762064952.2157292,2025-11-02T15:29:12.215729,[   21385.616858] /dev/input/event4: 0003 0030 0000000b,21385.616858,/dev/input/event4,0003,0030,0000000b
1762064952.230598,2025-11-02T15:29:12.230598,[   21385.616858] /dev/input/event4: 0000 0000 00000000,21385.616858,/dev/input/event4,0000,0000,00000000
1762064952.2465372,2025-11-02T15:29:12.246537,[   21385.625082] /dev/input/event4: 0003 0035 000002a0,21385.625082,/dev/input/event4,0003,0035,000002a0
1762064952.261757,2025-11-02T15:29:12.261757,[   21385.625082] /dev/input/event4: 0003 0036 0000060d,21385.625082,/dev/input/event4,0003,0036,0000060d
1762064952.2772462,2025-11-02T15:29:12.277246,[   21385.625082] /dev/input/event4: 0003 0030 0000000a,21385.625082,/dev/input/event4,0003,0030,0000000a
1762064952.2920353,2025-11-02T15:29:12.292035,[   21385.625082] /dev/input/event4: 0000 0000 00000000,21385.625082,/dev/input/event4,0000,0000,00000000
1762064952.3073757,2025-11-02T15:29:12.307376,[   21385.633575] /dev/input/event4: 0003 0035 000002bf,21385.633575,/dev/input/event4,0003,0035,000002bf
1762064952.3225832,2025-11-02T15:29:12.322583,[   21385.633575] /dev/input/event4: 0003 0036 000005cf,21385.633575,/dev/input/event4,0003,0036,000005cf
1762064952.3385324,2025-11-02T15:29:12.338532,[   21385.633575] /dev/input/event4: 0003 0030 0000000c,21385.633575,/dev/input/event4,0003,0030,0000000c
1762064952.3547873,2025-11-02T15:29:12.354787,[   21385.633575] /dev/input/event4: 0000 0000 00000000,21385.633575,/dev/input/event4,0000,0000,00000000
1762064952.3708928,2025-11-02T15:29:12.370893,[   21385.641864] /dev/input/event4: 0003 0035 000002e1,21385.641864,/dev/input/event4,0003,0035,000002e1
1762064952.3862102,2025-11-02T15:29:12.386210,[   21385.641864] /dev/input/event4: 0003 0036 00000594,21385.641864,/dev/input/event4,0003,0036,00000594
1762064952.4019134,2025-11-02T15:29:12.401913,[   21385.641864] /dev/input/event4: 0000 0000 00000000,21385.641864,/dev/input/event4,0000,0000,00000000
1762064952.4180026,2025-11-02T15:29:12.418003,[   21385.650307] /dev/input/event4: 0003 0035 00000305,21385.650307,/dev/input/event4,0003,0035,00000305
1762064952.4334164,2025-11-02T15:29:12.433416,[   21385.650307] /dev/input/event4: 0003 0036 00000563,21385.650307,/dev/input/event4,0003,0036,00000563
1762064952.4492996,2025-11-02T15:29:12.449300,[   21385.650307] /dev/input/event4: 0003 0030 0000000b,21385.650307,/dev/input/event4,0003,0030,0000000b
1762064952.4647393,2025-11-02T15:29:12.464739,[   21385.650307] /dev/input/event4: 0000 0000 00000000,21385.650307,/dev/input/event4,0000,0000,00000000
1762064952.4803498,2025-11-02T15:29:12.480350,[   21385.658503] /dev/input/event4: 0003 0035 00000323,21385.658503,/dev/input/event4,0003,0035,00000323
1762064952.4957745,2025-11-02T15:29:12.495775,[   21385.658503] /dev/input/event4: 0003 0036 00000540,21385.658503,/dev/input/event4,0003,0036,00000540
1762064952.5109348,2025-11-02T15:29:12.510935,[   21385.658503] /dev/input/event4: 0003 0030 0000000c,21385.658503,/dev/input/event4,0003,0030,0000000c
1762064952.5262275,2025-11-02T15:29:12.526227,[   21385.658503] /dev/input/event4: 0000 0000 00000000,21385.658503,/dev/input/event4,0000,0000,00000000
1762064952.5413928,2025-11-02T15:29:12.541393,[   21385.667005] /dev/input/event4: 0003 0035 0000033b,21385.667005,/dev/input/event4,0003,0035,0000033b
1762064952.556416,2025-11-02T15:29:12.556416,[   21385.667005] /dev/input/event4: 0003 0036 00000528,21385.667005,/dev/input/event4,0003,0036,00000528
1762064952.5578997,2025-11-02T15:29:12.557900,[   21385.667005] /dev/input/event4: 0000 0000 00000000,21385.667005,/dev/input/event4,0000,0000,00000000
1762064952.5721457,2025-11-02T15:29:12.572146,[   21385.675254] /dev/input/event4: 0003 0035 0000034f,21385.675254,/dev/input/event4,0003,0035,0000034f
1762064952.587176,2025-11-02T15:29:12.587176,[   21385.675254] /dev/input/event4: 0003 0036 00000517,21385.675254,/dev/input/event4,0003,0036,00000517
1762064952.6031878,2025-11-02T15:29:12.603188,[   21385.675254] /dev/input/event4: 0003 0030 0000000b,21385.675254,/dev/input/event4,0003,0030,0000000b
1762064952.6187909,2025-11-02T15:29:12.618791,[   21385.675254] /dev/input/event4: 0000 0000 00000000,21385.675254,/dev/input/event4,0000,0000,00000000
1762064952.6346567,2025-11-02T15:29:12.634657,[   21385.683737] /dev/input/event4: 0003 0035 0000035e,21385.683737,/dev/input/event4,0003,0035,0000035e
1762064952.6499798,2025-11-02T15:29:12.649980,[   21385.683737] /dev/input/event4: 0003 0036 0000050b,21385.683737,/dev/input/event4,0003,0036,0000050b
1762064952.6655266,2025-11-02T15:29:12.665527,[   21385.683737] /dev/input/event4: 0003 0030 0000000a,21385.683737,/dev/input/event4,0003,0030,0000000a
1762064952.6808023,2025-11-02T15:29:12.680802,[   21385.683737] /dev/input/event4: 0000 0000 00000000,21385.683737,/dev/input/event4,0000,0000,00000000
1762064952.6962895,2025-11-02T15:29:12.696290,[   21385.692055] /dev/input/event4: 0003 0035 0000036c,21385.692055,/dev/input/event4,0003,0035,0000036c
1762064952.7115345,2025-11-02T15:29:12.711535,[   21385.692055] /dev/input/event4: 0003 0036 00000501,21385.692055,/dev/input/event4,0003,0036,00000501
1762064952.7273042,2025-11-02T15:29:12.727304,[   21385.692055] /dev/input/event4: 0003 0030 0000000b,21385.692055,/dev/input/event4,0003,0030,0000000b
1762064952.7430382,2025-11-02T15:29:12.743038,[   21385.692055] /dev/input/event4: 0000 0000 00000000,21385.692055,/dev/input/event4,0000,0000,00000000
1762064952.7584052,2025-11-02T15:29:12.758405,[   21385.700468] /dev/input/event4: 0003 0035 00000378,21385.700468,/dev/input/event4,0003,0035,00000378
1762064952.7736723,2025-11-02T15:29:12.773672,[   21385.700468] /dev/input/event4: 0003 0036 000004f9,21385.700468,/dev/input/event4,0003,0036,000004f9
